land_cover_land1_sea0_surface , soil_porosity_surface 1.0
friction_velocity_surface , snow_depth_surface 0.12701231241226196
snow_depth_surface , friction_velocity_surface 0.12701231241226196
surface_wind_gust_surface , pressure_tropopause 0.12680716812610626
pressure_tropopause , surface_wind_gust_surface 0.12680716812610626
convective_inhibition_surface , temperature_tropopause 0.12670044600963593
temperature_tropopause , convective_inhibition_surface 0.12670044600963593
relative_humidity_zerodegc_isotherm , u-component_of_wind_tropopause 0.12494116276502609
u-component_of_wind_tropopause , relative_humidity_zerodegc_isotherm 0.12494116276502609
categorical_snow_yes1_no0_surface , plant_canopy_surface_water_surface 0.12486163526773453
plant_canopy_surface_water_surface , categorical_snow_yes1_no0_surface 0.12486163526773453
wilting_point_surface , u-component_of_wind_pblri 0.12401370704174042
u-component_of_wind_pblri , wilting_point_surface 0.12401370704174042
u-component_of_wind_pblri , direct_evaporation_cease_soil_moisture_surface 0.12401370704174042
direct_evaporation_cease_soil_moisture_surface , u-component_of_wind_pblri 0.12401370704174042
geopotential_height_surface , temperature_tropopause 0.12225207686424255
temperature_tropopause , geopotential_height_surface 0.12225207686424255
relative_humidity_zerodegc_isotherm , ice_cover_ice1_no_ice0_surface 0.12215539067983627
ice_cover_ice1_no_ice0_surface , relative_humidity_zerodegc_isotherm 0.12215539067983627
v-component_of_wind_pblri , maximumcomposite_radar_reflectivity_entire_atmosphere 0.1220296323299408
maximumcomposite_radar_reflectivity_entire_atmosphere , v-component_of_wind_pblri 0.1220296323299408
categorical_rain_yes1_no0_surface , geopotential_height_cloud_base 0.12045034021139145
geopotential_height_cloud_base , categorical_rain_yes1_no0_surface 0.12045034021139145
water_equiv_of_accum_snow_depth_surface , geopotential_height_surface 0.120244100689888
geopotential_height_surface , water_equiv_of_accum_snow_depth_surface 0.120244100689888
geopotential_height_pblri , u-component_of_wind_pblri 0.12014095485210419
u-component_of_wind_pblri , geopotential_height_pblri 0.12014095485210419
u-component_of_wind_tropopause , wilting_point_surface 0.12009453773498535
u-component_of_wind_tropopause , direct_evaporation_cease_soil_moisture_surface 0.12009453773498535
wilting_point_surface , u-component_of_wind_tropopause 0.12009453773498535
direct_evaporation_cease_soil_moisture_surface , u-component_of_wind_tropopause 0.12009453773498535
surface_wind_gust_surface , temperature_tropopause 0.11990931630134583
temperature_tropopause , surface_wind_gust_surface 0.11990931630134583
u-component_of_wind_tropopause , snow_cover_surface 0.11936453729867935
snow_cover_surface , u-component_of_wind_tropopause 0.11936453729867935
geopotential_height_cloud_base , temperature_surface 0.11795559525489807
temperature_surface , geopotential_height_cloud_base 0.11795559525489807
surface_wind_gust_surface , v-component_of_wind_pblri 0.1175926998257637
v-component_of_wind_pblri , surface_wind_gust_surface 0.1175926998257637
geopotential_height_surface , u-component_of_wind_pblri 0.11710020899772644
u-component_of_wind_pblri , geopotential_height_surface 0.11710020899772644
upward_long_wave_rad_flux_surface , geopotential_height_cloud_base 0.11643563210964203
geopotential_height_cloud_base , upward_long_wave_rad_flux_surface 0.11643563210964203
geopotential_height_lltw , categorical_rain_yes1_no0_surface 0.11636936664581299
categorical_rain_yes1_no0_surface , geopotential_height_lltw 0.11636936664581299
upward_long_wave_rad_flux_surface , lightning_surface 0.11575929820537567
lightning_surface , upward_long_wave_rad_flux_surface 0.11575929820537567
geopotential_height_lltw , v-component_of_wind_tropopause 0.1156776174902916
v-component_of_wind_tropopause , geopotential_height_lltw 0.1156776174902916
u-component_of_wind_tropopause , surface_wind_gust_surface 0.11488590389490128
surface_wind_gust_surface , u-component_of_wind_tropopause 0.11488590389490128
v-component_of_wind_maximum_wind , precipitable_water_entire_atmosphere 0.11457624286413193
precipitable_water_entire_atmosphere , v-component_of_wind_maximum_wind 0.11457624286413193
upward_short_wave_rad_flux_surface , vegetation_surface 0.11385130882263184
vegetation_surface , upward_short_wave_rad_flux_surface 0.11385130882263184
u-component_of_wind_tropopause , maximumcomposite_radar_reflectivity_entire_atmosphere 0.11358708888292313
maximumcomposite_radar_reflectivity_entire_atmosphere , u-component_of_wind_tropopause 0.11358708888292313
relative_humidity_zerodegc_isotherm , surface_wind_gust_surface 0.11334618926048279
surface_wind_gust_surface , relative_humidity_zerodegc_isotherm 0.11334618926048279
lightning_surface , convective_available_potential_energy_surface 0.11330380290746689
convective_available_potential_energy_surface , lightning_surface 0.11330380290746689
v-component_of_wind_tropopause , precipitable_water_entire_atmosphere 0.112574003636837
precipitable_water_entire_atmosphere , v-component_of_wind_tropopause 0.112574003636837
vegitation_type_as_in_sib_surface , u-component_of_wind_pblri 0.11197889596223831
u-component_of_wind_pblri , vegitation_type_as_in_sib_surface 0.11197889596223831
lightning_surface , temperature_surface 0.11171691119670868
temperature_surface , lightning_surface 0.11171691119670868
vegetation_surface , temperature_tropopause 0.11068382859230042
temperature_tropopause , vegetation_surface 0.11068382859230042
number_of_soil_layers_in_root_zone_surface , categorical_snow_yes1_no0_surface 0.11009544879198074
categorical_snow_yes1_no0_surface , number_of_soil_layers_in_root_zone_surface 0.11009544879198074
soil_type_as_in_zobler_surface , u-component_of_wind_pblri 0.11002510040998459
u-component_of_wind_pblri , soil_type_as_in_zobler_surface 0.11002510040998459
v-component_of_wind_tropopause , u-component_of_wind_maximum_wind 0.10959084331989288
u-component_of_wind_maximum_wind , v-component_of_wind_tropopause 0.10959084331989288
surface_roughness_surface , u-component_of_wind_pblri 0.10888530313968658
u-component_of_wind_pblri , surface_roughness_surface 0.10888530313968658
land_cover_land1_sea0_surface , v-component_of_wind_pblri 0.10881565511226654
v-component_of_wind_pblri , land_cover_land1_sea0_surface 0.10881565511226654
v-component_of_wind_pblri , soil_porosity_surface 0.10881565511226654
soil_porosity_surface , v-component_of_wind_pblri 0.10881565511226654
v-component_of_wind_pblri , transpiration_stress-onset_soil_moisture_surface 0.10793428122997284
transpiration_stress-onset_soil_moisture_surface , v-component_of_wind_pblri 0.10793428122997284
surface_wind_gust_surface , u-component_of_wind_maximum_wind 0.10785974562168121
u-component_of_wind_maximum_wind , surface_wind_gust_surface 0.10785974562168121
v-component_of_wind_pblri , precipitable_water_entire_atmosphere 0.10773375630378723
precipitable_water_entire_atmosphere , v-component_of_wind_pblri 0.10773375630378723
u-component_of_wind_tropopause , v-component_of_wind_pblri 0.10621393471956253
v-component_of_wind_pblri , u-component_of_wind_tropopause 0.10621393471956253
convective_inhibition_surface , snow_cover_surface 0.10507555305957794
snow_cover_surface , convective_inhibition_surface 0.10507555305957794
geopotential_height_lltw , v-component_of_wind_maximum_wind 0.10491648316383362
v-component_of_wind_maximum_wind , geopotential_height_lltw 0.10491648316383362
surface_wind_gust_surface , pressure_maximum_wind 0.10475065559148788
pressure_maximum_wind , surface_wind_gust_surface 0.10475065559148788
surface_wind_gust_surface , v-component_of_wind_tropopause 0.10430032759904861
v-component_of_wind_tropopause , surface_wind_gust_surface 0.10430032759904861
visibility_surface , geopotential_height_pblri 0.10371274501085281
geopotential_height_pblri , visibility_surface 0.10371274501085281
number_of_soil_layers_in_root_zone_surface , v-component_of_wind_pblri 0.10365556925535202
v-component_of_wind_pblri , number_of_soil_layers_in_root_zone_surface 0.10365556925535202
maximumcomposite_radar_reflectivity_entire_atmosphere , snow_cover_surface 0.10356142371892929
snow_cover_surface , maximumcomposite_radar_reflectivity_entire_atmosphere 0.10356142371892929
number_of_soil_layers_in_root_zone_surface , u-component_of_wind_maximum_wind 0.10341355949640274
u-component_of_wind_maximum_wind , number_of_soil_layers_in_root_zone_surface 0.10341355949640274
categorical_snow_yes1_no0_surface , land_cover_land1_sea0_surface 0.10314657539129257
categorical_snow_yes1_no0_surface , soil_porosity_surface 0.10314657539129257
land_cover_land1_sea0_surface , categorical_snow_yes1_no0_surface 0.10314657539129257
soil_porosity_surface , categorical_snow_yes1_no0_surface 0.10314657539129257
water_equiv_of_accum_snow_depth_surface , friction_velocity_surface 0.10310471802949905
friction_velocity_surface , water_equiv_of_accum_snow_depth_surface 0.10310471802949905
geopotential_height_surface , snow_depth_surface 0.10291744023561478
snow_depth_surface , geopotential_height_surface 0.10291744023561478
vegetation_surface , geopotential_height_zerodegc_isotherm 0.10231580585241318
geopotential_height_zerodegc_isotherm , vegetation_surface 0.10231580585241318
land_cover_land1_sea0_surface , u-component_of_wind_maximum_wind 0.10153493285179138
soil_porosity_surface , u-component_of_wind_maximum_wind 0.10153493285179138
u-component_of_wind_maximum_wind , land_cover_land1_sea0_surface 0.10153493285179138
u-component_of_wind_maximum_wind , soil_porosity_surface 0.10153493285179138
transpiration_stress-onset_soil_moisture_surface , u-component_of_wind_maximum_wind 0.10058777779340744
u-component_of_wind_maximum_wind , transpiration_stress-onset_soil_moisture_surface 0.10058777779340744
pressure_reduced_to_msl_msl , pressure_surface 0.10032958537340164
pressure_surface , pressure_reduced_to_msl_msl 0.10032958537340164
downward_short_wave_rad_flux_surface , precipitable_water_entire_atmosphere 0.09932410717010498
precipitable_water_entire_atmosphere , downward_short_wave_rad_flux_surface 0.09932410717010498
snow_depth_surface , u-component_of_wind_pblri 0.09910450130701065
u-component_of_wind_pblri , snow_depth_surface 0.09910450130701065
categorical_snow_yes1_no0_surface , surface_wind_gust_surface 0.0987452045083046
surface_wind_gust_surface , categorical_snow_yes1_no0_surface 0.0987452045083046
surface_wind_gust_surface , v-component_of_wind_maximum_wind 0.09868080914020538
v-component_of_wind_maximum_wind , surface_wind_gust_surface 0.09868080914020538
plant_canopy_surface_water_surface , pressure_maximum_wind 0.09862660616636276
pressure_maximum_wind , plant_canopy_surface_water_surface 0.09862660616636276
vegetation_surface , temperature_surface 0.0973600298166275
temperature_surface , vegetation_surface 0.0973600298166275
categorical_snow_yes1_no0_surface , transpiration_stress-onset_soil_moisture_surface 0.0967523381114006
transpiration_stress-onset_soil_moisture_surface , categorical_snow_yes1_no0_surface 0.0967523381114006
v-component_of_wind_pblri , wilting_point_surface 0.09661809355020523
v-component_of_wind_pblri , direct_evaporation_cease_soil_moisture_surface 0.09661809355020523
wilting_point_surface , v-component_of_wind_pblri 0.09661809355020523
direct_evaporation_cease_soil_moisture_surface , v-component_of_wind_pblri 0.09661809355020523
u-component_of_wind_tropopause , v-component_of_wind_maximum_wind 0.09660224616527557
v-component_of_wind_maximum_wind , u-component_of_wind_tropopause 0.09660224616527557
geopotential_height_surface , pressure_tropopause 0.09619268029928207
pressure_tropopause , geopotential_height_surface 0.09619268029928207
u-component_of_wind_tropopause , mean_sea_level_pressure_nam_model_reduction_msl 0.09567221999168396
mean_sea_level_pressure_nam_model_reduction_msl , u-component_of_wind_tropopause 0.09567221999168396
categorical_snow_yes1_no0_surface , geopotential_height_cloud_base 0.09417286515235901
geopotential_height_cloud_base , categorical_snow_yes1_no0_surface 0.09417286515235901
relative_humidity_zerodegc_isotherm , v-component_of_wind_maximum_wind 0.09414618462324142
v-component_of_wind_maximum_wind , relative_humidity_zerodegc_isotherm 0.09414618462324142
geopotential_height_zerodegc_isotherm , geopotential_height_pblri 0.09399717301130295
geopotential_height_pblri , geopotential_height_zerodegc_isotherm 0.09399717301130295
lightning_surface , geopotential_height_pblri 0.09396795183420181
geopotential_height_pblri , lightning_surface 0.09396795183420181
u-component_of_wind_tropopause , vegitation_type_as_in_sib_surface 0.09358105808496475
vegitation_type_as_in_sib_surface , u-component_of_wind_tropopause 0.09358105808496475
convective_available_potential_energy_surface , geopotential_height_pblri 0.09284184873104095
geopotential_height_pblri , convective_available_potential_energy_surface 0.09284184873104095
water_equiv_of_accum_snow_depth_surface , pressure_maximum_wind 0.09145263582468033
pressure_maximum_wind , water_equiv_of_accum_snow_depth_surface 0.09145263582468033
upward_short_wave_rad_flux_surface , pressure_tropopause 0.09128709137439728
pressure_tropopause , upward_short_wave_rad_flux_surface 0.09128709137439728
pressure_surface , geopotential_height_zerodegc_isotherm 0.09097719937562943
geopotential_height_zerodegc_isotherm , pressure_surface 0.09097719937562943
maximumcomposite_radar_reflectivity_entire_atmosphere , u-component_of_wind_maximum_wind 0.09069843590259552
u-component_of_wind_maximum_wind , maximumcomposite_radar_reflectivity_entire_atmosphere 0.09069843590259552
surface_wind_gust_surface , geopotential_height_cloud_base 0.0906239002943039
geopotential_height_cloud_base , surface_wind_gust_surface 0.0906239002943039
visibility_surface , pressure_surface 0.09051056951284409
pressure_surface , visibility_surface 0.09051056951284409
lightning_surface , geopotential_height_cloud_base 0.08989851176738739
geopotential_height_cloud_base , lightning_surface 0.08989851176738739
u-component_of_wind_tropopause , v-component_of_wind_tropopause 0.08968566358089447
v-component_of_wind_tropopause , u-component_of_wind_tropopause 0.08968566358089447
pressure_maximum_wind , snow_depth_surface 0.08961658179759979
snow_depth_surface , pressure_maximum_wind 0.08961658179759979
mean_sea_level_pressure_nam_model_reduction_msl , snow_cover_surface 0.08952447026968002
snow_cover_surface , mean_sea_level_pressure_nam_model_reduction_msl 0.08952447026968002
v-component_of_wind_pblri , convective_available_potential_energy_surface 0.08920246362686157
convective_available_potential_energy_surface , v-component_of_wind_pblri 0.08920246362686157
surface_roughness_surface , u-component_of_wind_maximum_wind 0.08915013819932938
u-component_of_wind_maximum_wind , surface_roughness_surface 0.08915013819932938
temperature_surface , v-component_of_wind_tropopause 0.08873683214187622
v-component_of_wind_tropopause , temperature_surface 0.08873683214187622
u-component_of_wind_tropopause , albedo_surface 0.08872345089912415
albedo_surface , u-component_of_wind_tropopause 0.08872345089912415
u-component_of_wind_maximum_wind , wilting_point_surface 0.08858583122491837
u-component_of_wind_maximum_wind , direct_evaporation_cease_soil_moisture_surface 0.08858583122491837
wilting_point_surface , u-component_of_wind_maximum_wind 0.08858583122491837
direct_evaporation_cease_soil_moisture_surface , u-component_of_wind_maximum_wind 0.08858583122491837
u-component_of_wind_tropopause , soil_type_as_in_zobler_surface 0.0883057713508606
soil_type_as_in_zobler_surface , u-component_of_wind_tropopause 0.0883057713508606
categorical_snow_yes1_no0_surface , surface_roughness_surface 0.08816602826118469
surface_roughness_surface , categorical_snow_yes1_no0_surface 0.08816602826118469
geopotential_height_cloud_base , friction_velocity_surface 0.08814121782779694
friction_velocity_surface , geopotential_height_cloud_base 0.08814121782779694
visibility_surface , convective_available_potential_energy_surface 0.08790148049592972
convective_available_potential_energy_surface , visibility_surface 0.08790148049592972
number_of_soil_layers_in_root_zone_surface , pressure_maximum_wind 0.08766545355319977
pressure_maximum_wind , number_of_soil_layers_in_root_zone_surface 0.08766545355319977
convective_inhibition_surface , mean_sea_level_pressure_nam_model_reduction_msl 0.08719415962696075
mean_sea_level_pressure_nam_model_reduction_msl , convective_inhibition_surface 0.08719415962696075
water_equiv_of_accum_snow_depth_surface , plant_canopy_surface_water_surface 0.08715527504682541
plant_canopy_surface_water_surface , water_equiv_of_accum_snow_depth_surface 0.08715527504682541
vegitation_type_as_in_sib_surface , v-component_of_wind_pblri 0.0870824009180069
v-component_of_wind_pblri , vegitation_type_as_in_sib_surface 0.0870824009180069
upward_short_wave_rad_flux_surface , temperature_surface 0.08651416748762131
temperature_surface , upward_short_wave_rad_flux_surface 0.08651416748762131
ice_cover_ice1_no_ice0_surface , pressure_maximum_wind 0.08631283044815063
pressure_maximum_wind , ice_cover_ice1_no_ice0_surface 0.08631283044815063
v-component_of_wind_pblri , soil_type_as_in_zobler_surface 0.08589459210634232
soil_type_as_in_zobler_surface , v-component_of_wind_pblri 0.08589459210634232
pressure_reduced_to_msl_msl , u-component_of_wind_tropopause 0.08559196442365646
u-component_of_wind_tropopause , pressure_reduced_to_msl_msl 0.08559196442365646
v-component_of_wind_pblri , u-component_of_wind_maximum_wind 0.08297616988420486
u-component_of_wind_maximum_wind , v-component_of_wind_pblri 0.08297616988420486
upward_short_wave_rad_flux_surface , temperature_tropopause 0.08282335102558136
temperature_tropopause , upward_short_wave_rad_flux_surface 0.08282335102558136
v-component_of_wind_pblri , vegetation_surface 0.08168327808380127
vegetation_surface , v-component_of_wind_pblri 0.08168327808380127
relative_humidity_zerodegc_isotherm , planetary_boundary_layer_height_surface 0.08149262517690659
planetary_boundary_layer_height_surface , relative_humidity_zerodegc_isotherm 0.08149262517690659
surface_roughness_surface , pressure_maximum_wind 0.081303171813488
pressure_maximum_wind , surface_roughness_surface 0.081303171813488
v-component_of_wind_pblri , geopotential_height_surface 0.08034227043390274
geopotential_height_surface , v-component_of_wind_pblri 0.08034227043390274
relative_humidity_zerodegc_isotherm , total_cloud_cover_entire_atmosphere 0.08033400774002075
total_cloud_cover_entire_atmosphere , relative_humidity_zerodegc_isotherm 0.08033400774002075
categorical_snow_yes1_no0_surface , geopotential_height_surface 0.07994601130485535
geopotential_height_surface , categorical_snow_yes1_no0_surface 0.07994601130485535
water_equiv_of_accum_snow_depth_surface , u-component_of_wind_pblri 0.0799115002155304
u-component_of_wind_pblri , water_equiv_of_accum_snow_depth_surface 0.0799115002155304
u-component_of_wind_tropopause , plant_canopy_surface_water_surface 0.07944875210523605
plant_canopy_surface_water_surface , u-component_of_wind_tropopause 0.07944875210523605
upward_short_wave_rad_flux_surface , u-component_of_wind_pblri 0.07933877408504486
u-component_of_wind_pblri , upward_short_wave_rad_flux_surface 0.07933877408504486
total_cloud_cover_entire_atmosphere , geopotential_height_zerodegc_isotherm 0.07841826975345612
geopotential_height_zerodegc_isotherm , total_cloud_cover_entire_atmosphere 0.07841826975345612
planetary_boundary_layer_height_surface , geopotential_height_zerodegc_isotherm 0.07795611023902893
geopotential_height_zerodegc_isotherm , planetary_boundary_layer_height_surface 0.07795611023902893
water_equiv_of_accum_snow_depth_surface , upward_short_wave_rad_flux_surface 0.07767436653375626
upward_short_wave_rad_flux_surface , water_equiv_of_accum_snow_depth_surface 0.07767436653375626
pressure_reduced_to_msl_msl , convective_inhibition_surface 0.07758503407239914
convective_inhibition_surface , pressure_reduced_to_msl_msl 0.07758503407239914
upward_long_wave_rad_flux_surface , v-component_of_wind_tropopause 0.07745174318552017
v-component_of_wind_tropopause , upward_long_wave_rad_flux_surface 0.07745174318552017
ice_cover_ice1_no_ice0_surface , pressure_surface 0.07657826691865921
pressure_surface , ice_cover_ice1_no_ice0_surface 0.07657826691865921
pressure_reduced_to_msl_msl , snow_cover_surface 0.0764794796705246
snow_cover_surface , pressure_reduced_to_msl_msl 0.0764794796705246
land_cover_land1_sea0_surface , pressure_maximum_wind 0.07632496953010559
soil_porosity_surface , pressure_maximum_wind 0.07632496953010559
pressure_maximum_wind , land_cover_land1_sea0_surface 0.07632496953010559
pressure_maximum_wind , soil_porosity_surface 0.07632496953010559
geopotential_height_cloud_base , plant_canopy_surface_water_surface 0.07625914365053177
plant_canopy_surface_water_surface , geopotential_height_cloud_base 0.07625914365053177
v-component_of_wind_maximum_wind , temperature_surface 0.07520970702171326
temperature_surface , v-component_of_wind_maximum_wind 0.07520970702171326
convective_inhibition_surface , geopotential_height_pblri 0.07485687732696533
geopotential_height_pblri , convective_inhibition_surface 0.07485687732696533
snow_cover_surface , u-component_of_wind_maximum_wind 0.07445214688777924
u-component_of_wind_maximum_wind , snow_cover_surface 0.07445214688777924
friction_velocity_surface , v-component_of_wind_maximum_wind 0.07421605288982391
v-component_of_wind_maximum_wind , friction_velocity_surface 0.07421605288982391
relative_humidity_zerodegc_isotherm , v-component_of_wind_tropopause 0.07392527163028717
v-component_of_wind_tropopause , relative_humidity_zerodegc_isotherm 0.07392527163028717
plant_canopy_surface_water_surface , u-component_of_wind_pblri 0.07365129142999649
u-component_of_wind_pblri , plant_canopy_surface_water_surface 0.07365129142999649
geopotential_height_cloud_base , geopotential_height_pblri 0.07350726425647736
geopotential_height_pblri , geopotential_height_cloud_base 0.07350726425647736
visibility_surface , downward_long_wave_rad_flux_surface 0.07330552488565445
downward_long_wave_rad_flux_surface , visibility_surface 0.07330552488565445
maximumcomposite_radar_reflectivity_entire_atmosphere , pressure_maximum_wind 0.07291503250598907
pressure_maximum_wind , maximumcomposite_radar_reflectivity_entire_atmosphere 0.07291503250598907
planetary_boundary_layer_height_surface , geopotential_height_cloud_base 0.07263428717851639
geopotential_height_cloud_base , planetary_boundary_layer_height_surface 0.07263428717851639
transpiration_stress-onset_soil_moisture_surface , pressure_maximum_wind 0.07233770191669464
pressure_maximum_wind , transpiration_stress-onset_soil_moisture_surface 0.07233770191669464
albedo_surface , vegetation_surface 0.07228483259677887
vegetation_surface , albedo_surface 0.07228483259677887
vegitation_type_as_in_sib_surface , u-component_of_wind_maximum_wind 0.07155922055244446
u-component_of_wind_maximum_wind , vegitation_type_as_in_sib_surface 0.07155922055244446
lightning_surface , v-component_of_wind_maximum_wind 0.07070489972829819
v-component_of_wind_maximum_wind , lightning_surface 0.07070489972829819
categorical_snow_yes1_no0_surface , v-component_of_wind_tropopause 0.07057234644889832
v-component_of_wind_tropopause , categorical_snow_yes1_no0_surface 0.07057234644889832
lightning_surface , plant_canopy_surface_water_surface 0.07032646238803864
plant_canopy_surface_water_surface , lightning_surface 0.07032646238803864
maximumcomposite_radar_reflectivity_entire_atmosphere , precipitable_water_entire_atmosphere 0.06982679665088654
precipitable_water_entire_atmosphere , maximumcomposite_radar_reflectivity_entire_atmosphere 0.06982679665088654
total_cloud_cover_entire_atmosphere , geopotential_height_cloud_base 0.0697329044342041
geopotential_height_cloud_base , total_cloud_cover_entire_atmosphere 0.0697329044342041
friction_velocity_surface , v-component_of_wind_tropopause 0.06954707205295563
v-component_of_wind_tropopause , friction_velocity_surface 0.06954707205295563
categorical_snow_yes1_no0_surface , soil_type_as_in_zobler_surface 0.06916344910860062
soil_type_as_in_zobler_surface , categorical_snow_yes1_no0_surface 0.06916344910860062
upward_short_wave_rad_flux_surface , snow_depth_surface 0.06914559751749039
snow_depth_surface , upward_short_wave_rad_flux_surface 0.06914559751749039
convective_inhibition_surface , friction_velocity_surface 0.06842713057994843
friction_velocity_surface , convective_inhibition_surface 0.06842713057994843
categorical_snow_yes1_no0_surface , wilting_point_surface 0.06773815304040909
categorical_snow_yes1_no0_surface , direct_evaporation_cease_soil_moisture_surface 0.06773815304040909
wilting_point_surface , categorical_snow_yes1_no0_surface 0.06773815304040909
direct_evaporation_cease_soil_moisture_surface , categorical_snow_yes1_no0_surface 0.06773815304040909
mean_sea_level_pressure_nam_model_reduction_msl , u-component_of_wind_maximum_wind 0.06740997731685638
u-component_of_wind_maximum_wind , mean_sea_level_pressure_nam_model_reduction_msl 0.06740997731685638
upward_long_wave_rad_flux_surface , v-component_of_wind_maximum_wind 0.06645498424768448
v-component_of_wind_maximum_wind , upward_long_wave_rad_flux_surface 0.06645498424768448
ice_cover_ice1_no_ice0_surface , u-component_of_wind_pblri 0.06632868945598602
u-component_of_wind_pblri , ice_cover_ice1_no_ice0_surface 0.06632868945598602
lightning_surface , friction_velocity_surface 0.06586652994155884
friction_velocity_surface , lightning_surface 0.06586652994155884
pressure_tropopause , u-component_of_wind_maximum_wind 0.06509344279766083
u-component_of_wind_maximum_wind , pressure_tropopause 0.06509344279766083
v-component_of_wind_pblri , u-component_of_wind_pblri 0.06509087234735489
u-component_of_wind_pblri , v-component_of_wind_pblri 0.06509087234735489
categorical_snow_yes1_no0_surface , pressure_maximum_wind 0.0646626353263855
pressure_maximum_wind , categorical_snow_yes1_no0_surface 0.0646626353263855
vegetation_surface , u-component_of_wind_pblri 0.06373576819896698
u-component_of_wind_pblri , vegetation_surface 0.06373576819896698
categorical_snow_yes1_no0_surface , vegitation_type_as_in_sib_surface 0.06354586035013199
vegitation_type_as_in_sib_surface , categorical_snow_yes1_no0_surface 0.06354586035013199
v-component_of_wind_pblri , lightning_surface 0.06298516690731049
lightning_surface , v-component_of_wind_pblri 0.06298516690731049
soil_type_as_in_zobler_surface , u-component_of_wind_maximum_wind 0.06288131326436996
u-component_of_wind_maximum_wind , soil_type_as_in_zobler_surface 0.06288131326436996
lightning_surface , v-component_of_wind_tropopause 0.06270948052406311
v-component_of_wind_tropopause , lightning_surface 0.06270948052406311
convective_inhibition_surface , snow_depth_surface 0.06249547004699707
snow_depth_surface , convective_inhibition_surface 0.06249547004699707
categorical_snow_yes1_no0_surface , v-component_of_wind_maximum_wind 0.062334414571523666
v-component_of_wind_maximum_wind , categorical_snow_yes1_no0_surface 0.062334414571523666
planetary_boundary_layer_height_surface , friction_velocity_surface 0.062310103327035904
friction_velocity_surface , planetary_boundary_layer_height_surface 0.062310103327035904
vegetation_surface , downward_short_wave_rad_flux_surface 0.062019091099500656
downward_short_wave_rad_flux_surface , vegetation_surface 0.062019091099500656
maximumcomposite_radar_reflectivity_entire_atmosphere , surface_roughness_surface 0.06189457327127457
surface_roughness_surface , maximumcomposite_radar_reflectivity_entire_atmosphere 0.06189457327127457
lightning_surface , geopotential_height_zerodegc_isotherm 0.0611761175096035
geopotential_height_zerodegc_isotherm , lightning_surface 0.0611761175096035
pressure_reduced_to_msl_msl , u-component_of_wind_maximum_wind 0.060828082263469696
u-component_of_wind_maximum_wind , pressure_reduced_to_msl_msl 0.060828082263469696
geopotential_height_lltw , v-component_of_wind_pblri 0.06065208837389946
v-component_of_wind_pblri , geopotential_height_lltw 0.06065208837389946
plant_canopy_surface_water_surface , v-component_of_wind_maximum_wind 0.05991068854928017
v-component_of_wind_maximum_wind , plant_canopy_surface_water_surface 0.05991068854928017
vegetation_surface , categorical_rain_yes1_no0_surface 0.059845488518476486
categorical_rain_yes1_no0_surface , vegetation_surface 0.059845488518476486
upward_short_wave_rad_flux_surface , pressure_maximum_wind 0.05875211954116821
pressure_maximum_wind , upward_short_wave_rad_flux_surface 0.05875211954116821
water_equiv_of_accum_snow_depth_surface , maximumcomposite_radar_reflectivity_entire_atmosphere 0.05794746056199074
maximumcomposite_radar_reflectivity_entire_atmosphere , water_equiv_of_accum_snow_depth_surface 0.05794746056199074
relative_humidity_zerodegc_isotherm , convective_inhibition_surface 0.057774726301431656
convective_inhibition_surface , relative_humidity_zerodegc_isotherm 0.057774726301431656
visibility_surface , precipitable_water_entire_atmosphere 0.057611510157585144
precipitable_water_entire_atmosphere , visibility_surface 0.057611510157585144
geopotential_height_zerodegc_isotherm , v-component_of_wind_tropopause 0.05750994756817818
v-component_of_wind_tropopause , geopotential_height_zerodegc_isotherm 0.05750994756817818
categorical_snow_yes1_no0_surface , ice_cover_ice1_no_ice0_surface 0.05747651681303978
ice_cover_ice1_no_ice0_surface , categorical_snow_yes1_no0_surface 0.05747651681303978
v-component_of_wind_pblri , surface_roughness_surface 0.057052891701459885
surface_roughness_surface , v-component_of_wind_pblri 0.057052891701459885
relative_humidity_zerodegc_isotherm , vegetation_surface 0.056878942996263504
vegetation_surface , relative_humidity_zerodegc_isotherm 0.056878942996263504
lightning_surface , vegetation_surface 0.05675296112895012
vegetation_surface , lightning_surface 0.05675296112895012
surface_wind_gust_surface , ice_cover_ice1_no_ice0_surface 0.05606684461236
ice_cover_ice1_no_ice0_surface , surface_wind_gust_surface 0.05606684461236
albedo_surface , u-component_of_wind_maximum_wind 0.05600767582654953
u-component_of_wind_maximum_wind , albedo_surface 0.05600767582654953
surface_wind_gust_surface , downward_long_wave_rad_flux_surface 0.05516977980732918
downward_long_wave_rad_flux_surface , surface_wind_gust_surface 0.05516977980732918
geopotential_height_cloud_base , u-component_of_wind_maximum_wind 0.05507327988743782
u-component_of_wind_maximum_wind , geopotential_height_cloud_base 0.05507327988743782
categorical_rain_yes1_no0_surface , temperature_tropopause 0.054999399930238724
temperature_tropopause , categorical_rain_yes1_no0_surface 0.054999399930238724
convective_inhibition_surface , pressure_maximum_wind 0.05422038957476616
pressure_maximum_wind , convective_inhibition_surface 0.05422038957476616
u-component_of_wind_tropopause , geopotential_height_cloud_base 0.05395752191543579
geopotential_height_cloud_base , u-component_of_wind_tropopause 0.05395752191543579
vegetation_surface , geopotential_height_pblri 0.05378778278827667
geopotential_height_pblri , vegetation_surface 0.05378778278827667
